Anio,Mes,Accidentes
1997, Enero,18515
1997, Febrero,18407
1997, Marzo,20004
1997, Abril,20175
1997, Mayo,20915
1997, Junio,20773
1997, Julio,20609
1997, Agosto,20355
1997, Septiembre,20754
1997, Octubre,21579
1997, Noviembre,22435
1997, Diciembre,23593
1998, Enero,20309
1998, Febrero,20350
1998, Marzo,21847
1998, Abril,21062
1998, Mayo,21896
1998, Junio,21746
1998, Julio,21325
1998, Agosto,22036
1998, Septiembre,21498
1998, Octubre,23285
1998, Noviembre,22668
1998, Diciembre,24665
1999, Enero,23898
1999, Febrero,20392
1999, Marzo,24369
1999, Abril,23442
1999, Mayo,24030
1999, Junio,22857
1999, Julio,22554
1999, Agosto,24471
1999, Septiembre,24490
1999, Octubre,26042
1999, Noviembre,22245
1999, Diciembre,26704
2000, Enero,24939
2000, Febrero,24484
2000, Marzo,25726
2000, Abril,24053
2000, Mayo,25389
2000, Junio,25166
2000, Julio,25431
2000, Agosto,25658
2000, Septiembre,26558
2000, Octubre,27421
2000, Noviembre,26894
2000, Diciembre,30219
2001, Enero,27241
2001, Febrero,26460
2001, Marzo,30856
2001, Abril,27863
2001, Mayo,30690
2001, Junio,31035
2001, Julio,30948
2001, Agosto,31571
2001, Septiembre,31492
2001, Octubre,32194
2001, Noviembre,31515
2001, Diciembre,33004
2002, Enero,30048
2002, Febrero,30306
2002, Marzo,33064
2002, Abril,31953
2002, Mayo,32126
2002, Junio,32957
2002, Julio,32262
2002, Agosto,34292
2002, Septiembre,34432
2002, Octubre,35058
2002, Noviembre,35545
2002, Diciembre,36959
2003, Enero,33045
2003, Febrero,33139
2003, Marzo,36509
2003, Abril,33978
2003, Mayo,36388
2003, Junio,35813
2003, Julio,34882
2003, Agosto,35937
2003, Septiembre,34584
2003, Octubre,36927
2003, Noviembre,35647
2003, Diciembre,37641
2004, Enero,34183
2004, Febrero,35300
2004, Marzo,38045
2004, Abril,34789
2004, Mayo,37420
2004, Junio,37331
2004, Julio,36945
2004, Agosto,37337
2004, Septiembre,36806
2004, Octubre,38854
2004, Noviembre,37036
2004, Diciembre,39561
2005, Enero,36943
2005, Febrero,35823
2005, Marzo,36720
2005, Abril,36830
2005, Mayo,38824
2005, Junio,37411
2005, Julio,36770
2005, Agosto,37705
2005, Septiembre,37945
2005, Octubre,39148
2005, Noviembre,37530
2005, Diciembre,40584
2006, Enero,37143
2006, Febrero,36260
2006, Marzo,39837
2006, Abril,37662
2006, Mayo,40582
2006, Junio,40468
2006, Julio,38334
2006, Agosto,39168
2006, Septiembre,39337
2006, Octubre,40591
2006, Noviembre,39359
2006, Diciembre,42531
2007, Enero,37901
2007, Febrero,38026
2007, Marzo,41678
2007, Abril,37198
2007, Mayo,40127
2007, Junio,41006
2007, Julio,38469
2007, Agosto,39647
2007, Septiembre,40977
2007, Octubre,41431
2007, Noviembre,38726
2007, Diciembre,41093
2008, Enero,37830
2008, Febrero,38986
2008, Marzo,39155
2008, Abril,39186
2008, Mayo,40683
2008, Junio,39302
2008, Julio,36902
2008, Agosto,38421
2008, Septiembre,36835
2008, Octubre,39855
2008, Noviembre,39089
2008, Diciembre,40191
2009, Enero,35235
2009, Febrero,35498
2009, Marzo,38587
2009, Abril,34625
2009, Mayo,36433
2009, Junio,36213
2009, Julio,34187
2009, Agosto,34876
2009, Septiembre,33558
2009, Octubre,34882
2009, Noviembre,36091
2009, Diciembre,38282
2010, Enero,35880
2010, Febrero,34700
2010, Marzo,37599
2010, Abril,34279
2010, Mayo,37308
2010, Junio,35196
2010, Julio,33677
2010, Agosto,35821
2010, Septiembre,34006
2010, Octubre,36847
2010, Noviembre,34436
2010, Diciembre,37518
2011, Enero,30960
2011, Febrero,30001
2011, Marzo,32571
2011, Abril,30980
2011, Mayo,33014
2011, Junio,31860
2011, Julio,31612
2011, Agosto,32954
2011, Septiembre,32205
2011, Octubre,34713
2011, Noviembre,31668
2011, Diciembre,34647
2012, Enero,31612
2012, Febrero,31403
2012, Marzo,34514
2012, Abril,30869
2012, Mayo,33325
2012, Junio,33422
2012, Julio,31650
2012, Agosto,31846
2012, Septiembre,31310
2012, Octubre,32891
2012, Noviembre,33480
2012, Diciembre,34089
2013, Enero,31245
2013, Febrero,30440
2013, Marzo,32819
2013, Abril,31580
2013, Mayo,33178
2013, Junio,33122
2013, Julio,31082
2013, Agosto,31855
2013, Septiembre,31273
2013, Octubre,32882
2013, Noviembre,31864
2013, Diciembre,34432
2014, Enero,30592
2014, Febrero,30437
2014, Marzo,33881
2014, Abril,30627
2014, Mayo,32908
2014, Junio,31113
2014, Julio,30472
2014, Agosto,32438
2014, Septiembre,30228
2014, Octubre,32449
2014, Noviembre,31977
2014, Diciembre,33451
2015, Enero,30210
2015, Febrero,29997
2015, Marzo,33329
2015, Abril,30731
2015, Mayo,33080
2015, Junio,31711
2015, Julio,30737
2015, Agosto,31662
2015, Septiembre,30948
2015, Octubre,33513
2015, Noviembre,32777
2015, Diciembre,33371
2016, Enero,29758
2016, Febrero,29714
2016, Marzo,29866
2016, Abril,29883
2016, Mayo,31235
2016, Junio,28755
2016, Julio,29356
2016, Agosto,28580
2016, Septiembre,29008
2016, Octubre,31231
2016, Noviembre,30260
2016, Diciembre,32405
2017, Enero,29894
2017, Febrero,29362
2017, Marzo,31871
2017, Abril,28334
2017, Mayo,30209
2017, Junio,29740
2017, Julio,29765
2017, Agosto,30593
2017, Septiembre,30053
2017, Octubre,32720
2017, Noviembre,32280
2017, Diciembre,32968
2018, Enero,29829
2018, Febrero,29323
2018, Marzo,31919
2018, Abril,30196
2018, Mayo,31670
2018, Junio,30455
2018, Julio,29467
2018, Agosto,30124
2018, Septiembre,29315
2018, Octubre,30630
2018, Noviembre,30505
2018, Diciembre,31848
2019, Enero,28567
2019, Febrero,28644
2019, Marzo,31534
2019, Abril,28407
2019, Mayo,30669
2019, Junio,30096
2019, Julio,28642
2019, Agosto,30174
2019, Septiembre,29618
2019, Octubre,31957
2019, Noviembre,31496
2019, Diciembre,32925
2020, Enero,30121
2020, Febrero,30554
2020, Marzo,27403
2020, Abril,17200
2020, Mayo,19074
2020, Junio,21392
2020, Julio,23505
2020, Agosto,25217
2020, Septiembre,24644
2020, Octubre,27379
2020, Noviembre,25735
2020, Diciembre,29454
2021, Enero,25457
2021, Febrero,24345
2021, Marzo,28723
2021, Abril,27425
2021, Mayo,29923
2021, Junio,28188
2021, Julio,28395
2021, Agosto,27227
2021, Septiembre,27281
2021, Octubre,30896
2021, Noviembre,29841
2021, Diciembre,32714
2022, Enero,27291
2022, Febrero,28507
2022, Marzo,32712
2022, Abril,31348
2022, Mayo,33247
2022, Junio,31913
2022, Julio,31777
2022, Agosto,31413
2022, Septiembre,31139
2022, Octubre,33048
2022, Noviembre,31433
2022, Diciembre,33403
2023, Enero,31556
2023, Febrero,30879
2023, Marzo,33578
2023, Abril,30031
2023, Mayo,32655
2023, Junio,32166
2023, Julio,31713
2023, Agosto,31388
2023, Septiembre,32286
2023, Octubre,31931
2023, Noviembre,30867
2023, Diciembre,31998
2024, Enero,30310
2024, Febrero,30896
2024, Marzo,31940
2024, Abril,31375
2024, Mayo,33392
2024, Junio,30435
2024, Julio,28724
2024, Agosto,30465
2024, Septiembre,30037
2024, Octubre,32456
2024, Noviembre,32742
2024, Diciembre,32177
