,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Enero,"18,515","20,309","23,898","24,939","27,241","30,048","33,045","34,183","36,943","37,143","37,901","37,83","35,235","35,88","30,96","31,612","31,245","30,592","30,21","29,758","29,894","29,829","28,567","30,121","25,457","27,291","31,556","30,31"
Febrero,"18,407","20,35","20,392","24,484","26,46","30,306","33,139","35,3","35,823","36,26","38,026","38,986","35,498","34,7","30,001","31,403","30,44","30,437","29,997","29,714","29,362","29,323","28,644","30,554","24,345","28,507","30,879","30,896"
Marzo,"20,004","21,847","24,369","25,726","30,856","33,064","36,509","38,045","36,72","39,837","41,678","39,155","38,587","37,599","32,571","34,514","32,819","33,881","33,329","29,866","31,871","31,919","31,534","27,403","28,723","32,712","33,578","31,94"
Abril,"20,175","21,062","23,442","24,053","27,863","31,953","33,978","34,789","36,83","37,662","37,198","39,186","34,625","34,279","30,98","30,869","31,58","30,627","30,731","29,883","28,334","30,196","28,407","17,2","27,425","31,348","30,031","31,375"
Mayo,"20,915","21,896","24,03","25,389","30,69","32,126","36,388","37,42","38,824","40,582","40,127","40,683","36,433","37,308","33,014","33,325","33,178","32,908","33,08","31,235","30,209","31,67","30,669","19,074","29,923","33,247","32,655","33,392"
Junio,"20,773","21,746","22,857","25,166","31,035","32,957","35,813","37,331","37,411","40,468","41,006","39,302","36,213","35,196","31,86","33,422","33,122","31,113","31,711","28,755","29,74","30,455","30,096","21,392","28,188","31,913","32,166","30,435"
Julio,"20,609","21,325","22,554","25,431","30,948","32,262","34,882","36,945","36,77","38,334","38,469","36,902","34,187","33,677","31,612","31,65","31,082","30,472","30,737","29,356","29,765","29,467","28,642","23,505","28,395","31,777","31,713","28,724"
Agosto,"20,355","22,036","24,471","25,658","31,571","34,292","35,937","37,337","37,705","39,168","39,647","38,421","34,876","35,821","32,954","31,846","31,855","32,438","31,662","28,58","30,593","30,124","30,174","25,217","27,227","31,413","31,388","30,465"
Septiembre,"20,754","21,498","24,49","26,558","31,492","34,432","34,584","36,806","37,945","39,337","40,977","36,835","33,558","34,006","32,205","31,31","31,273","30,228","30,948","29,008","30,053","29,315","29,618","24,644","27,281","31,139","32,286","30,037"
Octubre,"21,579","23,285","26,042","27,421","32,194","35,058","36,927","38,854","39,148","40,591","41,431","39,855","34,882","36,847","34,713","32,891","32,882","32,449","33,513","31,231","32,72","30,63","31,957","27,379","30,896","33,048","31,931","32,456"
Noviembre,"22,435","22,668","22,245","26,894","31,515","35,545","35,647","37,036","37,53","39,359","38,726","39,089","36,091","34,436","31,668","33,48","31,864","31,977","32,777","30,26","32,28","30,505","31,496","25,735","29,841","31,433","30,867","32,742"
Diciembre,"23,593","24,665","26,704","30,219","33,004","36,959","37,641","39,561","40,584","42,531","41,093","40,191","38,282","37,518","34,647","34,089","34,432","33,451","33,371","32,405","32,968","31,848","32,925","29,454","32,714","33,403","31,998","32,177"
Total,"248,114","262,687","285,494","311,938","364,869","399,002","424,49","443,607","452,233","471,272","476,279","466,435","428,467","427,267","387,185","390,411","385,772","380,573","382,066","360,051","367,789","365,281","362,729","301,678","340,415","377,231","381,048","374,949"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,|,,,,,,
